,,,,,,,,Fail Items,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,1800,1996,2,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
MG,1800,1997,4,1,25,3,75,1,25,3,75,2,50,0,0,1,25,1,25,0,0,2,50,0,0,0,0,0,0,2,50,0,0,0,0
MG,1800,1998,8,3,37.5,5,62.5,0,0,2,25,1,12.5,0,0,1,12.5,0,0,0,0,1,12.5,0,0,3,37.5,0,0,2,25,0,0,0,0
MG,1800,1999,10,5,50,5,50,3,30,2,20,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
MG,ABINGDON,1998,2,1,50,1,50,0,0,0,0,1,50,0,0,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
MG,MGB,1981,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0
MG,OTHER,1999,1,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100,0,0,0,0
MG,OTHER,2000,15,4,26.7,11,73.3,1,6.7,5,33.3,6,40,2,13.3,1,6.7,0,0,1,6.7,6,40,0,0,2,13.3,2,13.3,3,20,0,0,0,0
MG,OTHER,2001,13,3,23.1,10,76.9,1,7.7,5,38.5,4,30.8,1,7.7,2,15.4,0,0,2,15.4,5,38.5,0,0,2,15.4,0,0,3,23.1,0,0,0,0
MG,OTHER,2002,183,56,30.6,127,69.4,25,13.7,71,38.8,11,6,9,4.9,32,17.5,39,21.3,5,2.7,25,13.7,0,0,20,10.9,16,8.7,28,15.3,0,0,0,0
MG,OTHER,2003,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,OTHER,2004,49,11,22.4,38,77.6,10,20.4,22,44.9,10,20.4,2,4.1,10,20.4,6,12.2,2,4.1,9,18.4,1,2,4,8.2,4,8.2,9,18.4,0,0,0,0
MG,OTHER,2005,28,7,25,21,75,8,28.6,10,35.7,7,25,1,3.6,10,35.7,5,17.9,1,3.6,6,21.4,0,0,0,0,1,3.6,2,7.1,0,0,0,0
MG,OTHER,2006,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,OTHER,2009,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,OTHER,2010,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,TF,2002,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,TF,2003,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,TF,2005,1,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,ZR,2002,9,3,33.3,6,66.7,2,22.2,4,44.4,1,11.1,0,0,2,22.2,2,22.2,1,11.1,1,11.1,0,0,0,0,0,0,3,33.3,0,0,0,0
MG,ZR,2003,103,37,35.9,66,64.1,12,11.7,40,38.8,6,5.8,7,6.8,18,17.5,21,20.4,2,1.9,8,7.8,0,0,10,9.7,6,5.8,19,18.4,0,0,0,0
MG,ZR,2004,119,38,31.9,81,68.1,19,16,46,38.7,18,15.1,6,5,27,22.7,22,18.5,4,3.4,17,14.3,0,0,17,14.3,1,0.8,20,16.8,0,0,0,0
MG,ZR,2005,40,18,45,22,55,6,15,15,37.5,6,15,1,2.5,11,27.5,2,5,2,5,7,17.5,0,0,5,12.5,1,2.5,4,10,0,0,0,0
MG,ZR,2006,10,1,10,9,90,2,20,7,70,3,30,2,20,1,10,0,0,1,10,3,30,0,0,1,10,0,0,0,0,0,0,0,0
MG,ZR,2007,1,0,0,1,100,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER,2001,85,19,22.4,66,77.6,9,10.6,36,42.4,25,29.4,12,14.1,22,25.9,6,7.1,0,0,20,23.5,1,1.2,22,25.9,12,14.1,4,4.7,0,0,0,0
MINI,COOPER,2002,538,174,32.3,364,67.7,63,11.7,166,30.9,102,19,74,13.8,126,23.4,52,9.7,15,2.8,92,17.1,11,2,96,17.8,73,13.6,50,9.3,5,0.9,0,0
MINI,COOPER,2003,577,222,38.5,355,61.5,56,9.7,119,20.6,93,16.1,72,12.5,146,25.3,63,10.9,12,2.1,97,16.8,6,1,103,17.9,67,11.6,33,5.7,8,1.4,1,0.2
MINI,COOPER,2004,551,250,45.4,301,54.6,35,6.4,97,17.6,79,14.3,28,5.1,145,26.3,16,2.9,5,0.9,78,14.2,5,0.9,62,11.3,33,6,23,4.2,2,0.4,0,0
MINI,COOPER,2005,200,97,48.5,103,51.5,18,9,38,19,30,15,6,3,38,19,4,2,0,0,33,16.5,1,0.5,7,3.5,8,4,4,2,1,0.5,0,0
MINI,COOPER,2006,431,257,59.6,174,40.4,27,6.3,58,13.5,33,7.7,5,1.2,85,19.7,14,3.2,3,0.7,31,7.2,1,0.2,12,2.8,6,1.4,5,1.2,2,0.5,0,0
MINI,COOPER,2007,178,108,60.7,70,39.3,13,7.3,22,12.4,4,2.2,3,1.7,38,21.3,1,0.6,1,0.6,6,3.4,2,1.1,11,6.2,0,0,9,5.1,1,0.6,0,0
MINI,COOPER,2008,670,479,71.5,191,28.5,36,5.4,48,7.2,6,0.9,10,1.5,105,15.7,5,0.7,5,0.7,6,0.9,9,1.3,18,2.7,9,1.3,17,2.5,2,0.3,1,0.1
MINI,COOPER,2009,100,74,74,26,26,4,4,7,7,3,3,1,1,15,15,1,1,1,1,4,4,1,1,3,3,1,1,5,5,0,0,0,0
MINI,COOPER,2010,375,327,87.2,48,12.8,9,2.4,5,1.3,0,0,0,0,29,7.7,0,0,1,0.3,2,0.5,1,0.3,4,1.1,0,0,5,1.3,0,0,0,0
MINI,COOPER,2011,7,6,85.7,1,14.3,0,0,0,0,0,0,0,0,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER,2014,1,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER 1.6 S 3DR,2003,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER 1.6 S 3DR,2004,1,0,0,1,100,0,0,0,0,1,100,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER 1.6 S 3DR,2008,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER 1.6S 170BHP 3DR,2003,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER S,2002,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER S,2003,1,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER S,2005,1,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER S,2006,97,57,58.8,40,41.2,10,10.3,9,9.3,8,8.2,3,3.1,16,16.5,1,1,1,1,8,8.2,1,1,4,4.1,4,4.1,1,1,0,0,0,0
MINI,COOPER S,2007,26,12,46.2,14,53.8,3,11.5,7,26.9,0,0,0,0,10,38.5,0,0,1,3.8,1,3.8,0,0,2,7.7,0,0,0,0,0,0,0,0
MINI,COOPER S,2008,60,39,65,21,35,3,5,7,11.7,0,0,0,0,13,21.7,2,3.3,1,1.7,1,1.7,0,0,2,3.3,0,0,1,1.7,0,0,0,0
MINI,COOPER S,2009,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,COOPER S CHILLI,2006,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,FIRST,2009,3,2,66.7,1,33.3,0,0,0,0,0,0,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,FIRST,2010,61,42,68.9,19,31.1,2,3.3,5,8.2,0,0,0,0,10,16.4,1,1.6,1,1.6,0,0,1,1.6,1,1.6,0,0,0,0,0,0,0,0
MINI,ONE,2001,69,18,26.1,51,73.9,10,14.5,26,37.7,11,15.9,14,20.3,17,24.6,9,13,5,7.2,8,11.6,2,2.9,14,20.3,9,13,8,11.6,0,0,0,0
MINI,ONE,2002,288,100,34.7,188,65.3,31,10.8,83,28.8,49,17,26,9,76,26.4,30,10.4,6,2.1,42,14.6,3,1,59,20.5,27,9.4,14,4.9,1,0.3,0,0
MINI,ONE,2003,396,141,35.6,255,64.4,34,8.6,84,21.2,56,14.1,46,11.6,100,25.3,34,8.6,8,2,54,13.6,6,1.5,73,18.4,49,12.4,26,6.6,4,1,1,0.3
MINI,ONE,2004,464,201,43.3,263,56.7,39,8.4,94,20.3,62,13.4,42,9.1,119,25.6,14,3,5,1.1,65,14,9,1.9,54,11.6,58,12.5,21,4.5,1,0.2,0,0
MINI,ONE,2005,195,93,47.7,102,52.3,13,6.7,30,15.4,33,16.9,7,3.6,59,30.3,11,5.6,4,2.1,33,16.9,5,2.6,2,1,15,7.7,6,3.1,0,0,0,0
MINI,ONE,2006,430,263,61.2,167,38.8,23,5.3,73,17,25,5.8,9,2.1,87,20.2,12,2.8,2,0.5,23,5.3,4,0.9,7,1.6,12,2.8,10,2.3,1,0.2,0,0
MINI,ONE,2007,96,50,52.1,46,47.9,10,10.4,19,19.8,1,1,2,2.1,23,24,0,0,2,2.1,0,0,1,1,5,5.2,1,1,16,16.7,0,0,0,0
MINI,ONE,2008,475,347,73.1,128,26.9,21,4.4,24,5.1,1,0.2,4,0.8,71,14.9,2,0.4,1,0.2,3,0.6,1,0.2,14,2.9,5,1.1,17,3.6,2,0.4,0,0
MINI,ONE,2009,14,11,78.6,3,21.4,0,0,0,0,1,7.1,0,0,2,14.3,0,0,0,0,2,14.3,0,0,0,0,0,0,0,0,0,0,0,0
MINI,ONE,2010,52,38,73.1,14,26.9,1,1.9,4,7.7,0,0,0,0,6,11.5,0,0,0,0,0,0,1,1.9,2,3.8,0,0,0,0,0,0,0,0
MINI,ONE,2011,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,ONE 1.6 3DR,2004,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,ONE CABRIOLET,2004,1,0,0,1,100,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,OTHER,2001,3,0,0,3,100,1,33.3,1,33.3,0,0,0,0,1,33.3,0,0,0,0,0,0,0,0,1,33.3,0,0,0,0,0,0,0,0
MINI,OTHER,2002,4,1,25,3,75,0,0,2,50,0,0,0,0,0,0,1,25,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0
MINI,OTHER,2004,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,OTHER,2005,7,6,85.7,1,14.3,1,14.3,1,14.3,1,14.3,1,14.3,1,14.3,0,0,0,0,1,14.3,0,0,0,0,1,14.3,0,0,0,0,0,0
MINI,OTHER,2006,2,1,50,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI,OTHER,2010,8,6,75,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.5,0,0,1,12.5,0,0,0,0
MITSUBISHI,ASX,2010,27,23,85.2,4,14.8,2,7.4,0,0,1,3.7,0,0,1,3.7,0,0,0,0,1,3.7,1,3.7,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,ASX,2011,11,8,72.7,3,27.3,0,0,1,9.1,0,0,1,9.1,1,9.1,0,0,0,0,0,0,0,0,2,18.2,0,0,0,0,0,0,0,0
MITSUBISHI,CARISMA,1995,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,CARISMA,1996,24,14,58.3,10,41.7,3,12.5,4,16.7,1,4.2,2,8.3,2,8.3,2,8.3,5,20.8,2,8.3,0,0,1,4.2,2,8.3,1,4.2,0,0,0,0
MITSUBISHI,CARISMA,1997,60,19,31.7,41,68.3,11,18.3,16,26.7,18,30,11,18.3,10,16.7,6,10,4,6.7,14,23.3,2,3.3,2,3.3,9,15,4,6.7,0,0,0,0
MITSUBISHI,CARISMA,1998,101,39,38.6,62,61.4,18,17.8,26,25.7,25,24.8,15,14.9,15,14.9,8,7.9,5,5,23,22.8,2,2,9,8.9,11,10.9,12,11.9,0,0,0,0
MITSUBISHI,CARISMA,1999,154,54,35.1,100,64.9,38,24.7,31,20.1,22,14.3,33,21.4,26,16.9,8,5.2,9,5.8,18,11.7,6,3.9,13,8.4,39,25.3,23,14.9,0,0,0,0
MITSUBISHI,CARISMA,2000,259,90,34.7,169,65.3,45,17.4,56,21.6,48,18.5,63,24.3,42,16.2,8,3.1,8,3.1,38,14.7,11,4.2,29,11.2,71,27.4,10,3.9,0,0,0,0
MITSUBISHI,CARISMA,2001,177,47,26.6,130,73.4,39,22,50,28.2,34,19.2,56,31.6,35,19.8,10,5.6,4,2.3,31,17.5,5,2.8,17,9.6,62,35,8,4.5,0,0,0,0
MITSUBISHI,CARISMA,2002,539,179,33.2,360,66.8,128,23.7,119,22.1,99,18.4,146,27.1,114,21.2,11,2,12,2.2,95,17.6,9,1.7,40,7.4,158,29.3,20,3.7,2,0.4,0,0
MITSUBISHI,CARISMA,2003,561,185,33,376,67,124,22.1,143,25.5,103,18.4,177,31.6,93,16.6,15,2.7,13,2.3,104,18.5,9,1.6,38,6.8,192,34.2,17,3,4,0.7,0,0
MITSUBISHI,CARISMA,2004,194,67,34.5,127,65.5,40,20.6,45,23.2,43,22.2,62,32,36,18.6,7,3.6,2,1,30,15.5,4,2.1,12,6.2,67,34.5,7,3.6,0,0,0,0
MITSUBISHI,CARISMA,2005,7,2,28.6,5,71.4,1,14.3,1,14.3,2,28.6,4,57.1,1,14.3,0,0,0,0,1,14.3,0,0,1,14.3,3,42.9,0,0,0,0,0,0
MITSUBISHI,COLT,1988,2,1,50,1,50,0,0,0,0,1,50,0,0,1,50,1,50,1,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,COLT,1989,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,COLT,1990,1,0,0,1,100,1,100,1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,COLT,1991,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,COLT,1992,11,6,54.5,5,45.5,1,9.1,3,27.3,1,9.1,2,18.2,0,0,1,9.1,0,0,1,9.1,0,0,0,0,2,18.2,0,0,0,0,0,0
MITSUBISHI,COLT,1993,14,8,57.1,6,42.9,2,14.3,5,35.7,2,14.3,1,7.1,0,0,0,0,4,28.6,1,7.1,1,7.1,2,14.3,2,14.3,0,0,1,7.1,0,0
MITSUBISHI,COLT,1994,19,9,47.4,10,52.6,1,5.3,3,15.8,3,15.8,3,15.8,2,10.5,4,21.1,2,10.5,1,5.3,0,0,1,5.3,4,21.1,2,10.5,0,0,0,0
MITSUBISHI,COLT,1995,12,3,25,9,75,3,25,3,25,3,25,3,25,2,16.7,1,8.3,2,16.7,4,33.3,1,8.3,5,41.7,3,25,5,41.7,0,0,0,0
MITSUBISHI,COLT,1996,68,20,29.4,48,70.6,11,16.2,15,22.1,9,13.2,15,22.1,11,16.2,6,8.8,19,27.9,4,5.9,1,1.5,2,2.9,13,19.1,14,20.6,2,2.9,0,0
MITSUBISHI,COLT,1997,142,42,29.6,100,70.4,23,16.2,40,28.2,20,14.1,25,17.6,43,30.3,16,11.3,47,33.1,13,9.2,2,1.4,9,6.3,27,19,32,22.5,0,0,0,0
MITSUBISHI,COLT,1998,251,75,29.9,176,70.1,28,11.2,65,25.9,39,15.5,56,22.3,50,19.9,20,8,63,25.1,36,14.3,5,2,25,10,60,23.9,47,18.7,3,1.2,0,0
MITSUBISHI,COLT,1999,418,150,35.9,268,64.1,46,11,101,24.2,69,16.5,65,15.6,73,17.5,31,7.4,73,17.5,56,13.4,8,1.9,30,7.2,64,15.3,74,17.7,3,0.7,0,0
MITSUBISHI,COLT,2000,724,268,37,456,63,77,10.6,165,22.8,95,13.1,133,18.4,128,17.7,51,7,125,17.3,103,14.2,16,2.2,58,8,136,18.8,150,20.7,1,0.1,0,0
MITSUBISHI,COLT,2001,400,152,38,248,62,42,10.5,92,23,40,10,61,15.3,68,17,28,7,72,18,35,8.8,5,1.3,28,7,68,17,64,16,1,0.3,0,0
MITSUBISHI,COLT,2002,344,152,44.2,192,55.8,38,11,72,20.9,48,14,50,14.5,48,14,17,4.9,28,8.1,39,11.3,5,1.5,32,9.3,53,15.4,41,11.9,3,0.9,0,0
MITSUBISHI,COLT,2003,331,157,47.4,174,52.6,31,9.4,64,19.3,43,13,40,12.1,34,10.3,12,3.6,17,5.1,35,10.6,5,1.5,43,13,46,13.9,33,10,2,0.6,0,0
MITSUBISHI,COLT,2004,211,115,54.5,96,45.5,19,9,34,16.1,18,8.5,10,4.7,26,12.3,6,2.8,8,3.8,9,4.3,4,1.9,20,9.5,11,5.2,10,4.7,1,0.5,0,0
MITSUBISHI,COLT,2005,240,150,62.5,90,37.5,20,8.3,44,18.3,16,6.7,1,0.4,33,13.8,1,0.4,5,2.1,7,2.9,6,2.5,25,10.4,4,1.7,0,0,1,0.4,0,0
MITSUBISHI,COLT,2006,693,457,65.9,236,34.1,39,5.6,111,16,26,3.8,10,1.4,66,9.5,3,0.4,9,1.3,13,1.9,8,1.2,78,11.3,18,2.6,5,0.7,2,0.3,0,0
MITSUBISHI,COLT,2007,127,88,69.3,39,30.7,7,5.5,18,14.2,1,0.8,2,1.6,9,7.1,1,0.8,0,0,1,0.8,1,0.8,14,11,5,3.9,1,0.8,0,0,0,0
MITSUBISHI,COLT,2008,510,362,71,148,29,22,4.3,58,11.4,22,4.3,5,1,55,10.8,2,0.4,1,0.2,7,1.4,3,0.6,34,6.7,9,1.8,5,1,3,0.6,0,0
MITSUBISHI,COLT,2009,61,52,85.2,9,14.8,1,1.6,6,9.8,0,0,0,0,3,4.9,0,0,0,0,1,1.6,0,0,1,1.6,0,0,0,0,0,0,0,0
MITSUBISHI,COLT,2010,314,252,80.3,62,19.7,13,4.1,17,5.4,3,1,0,0,26,8.3,0,0,0,0,2,0.6,1,0.3,7,2.2,1,0.3,3,1,0,0,0,0
MITSUBISHI,COLT,2011,7,6,85.7,1,14.3,0,0,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,COLT,2207,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,DELICA PA5W 4DR A,1998,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,FTO,1999,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,GALANT,1990,4,3,75,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,GALANT,1991,4,2,50,2,50,0,0,0,0,1,25,0,0,2,50,1,25,1,25,1,25,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,GALANT,1992,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,GALANT,1994,4,0,0,4,100,0,0,0,0,2,50,2,50,0,0,1,25,1,25,1,25,0,0,0,0,2,50,2,50,0,0,0,0
MITSUBISHI,GALANT,1995,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,GALANT,1996,9,2,22.2,7,77.8,1,11.1,1,11.1,3,33.3,1,11.1,0,0,0,0,2,22.2,3,33.3,1,11.1,1,11.1,3,33.3,3,33.3,0,0,0,0
MITSUBISHI,GALANT,1997,7,5,71.4,2,28.6,0,0,1,14.3,2,28.6,1,14.3,0,0,0,0,1,14.3,2,28.6,0,0,0,0,1,14.3,0,0,0,0,0,0
MITSUBISHI,GALANT,1998,21,10,47.6,11,52.4,6,28.6,3,14.3,2,9.5,4,19,3,14.3,1,4.8,3,14.3,2,9.5,1,4.8,1,4.8,4,19,1,4.8,0,0,0,0
MITSUBISHI,GALANT,1999,30,11,36.7,19,63.3,2,6.7,8,26.7,11,36.7,3,10,5,16.7,2,6.7,4,13.3,8,26.7,4,13.3,3,10,5,16.7,1,3.3,0,0,0,0
MITSUBISHI,GALANT,2000,65,25,38.5,40,61.5,7,10.8,18,27.7,21,32.3,12,18.5,5,7.7,1,1.5,4,6.2,19,29.2,5,7.7,9,13.8,16,24.6,3,4.6,0,0,0,0
MITSUBISHI,GALANT,2001,70,19,27.1,51,72.9,3,4.3,14,20,28,40,22,31.4,9,12.9,1,1.4,7,10,24,34.3,3,4.3,5,7.1,23,32.9,1,1.4,0,0,0,0
MITSUBISHI,GALANT,2002,42,18,42.9,24,57.1,2,4.8,12,28.6,10,23.8,9,21.4,4,9.5,0,0,1,2.4,7,16.7,1,2.4,8,19,9,21.4,0,0,0,0,0,0
MITSUBISHI,GALANT,2003,36,7,19.4,29,80.6,8,22.2,9,25,9,25,11,30.6,8,22.2,2,5.6,2,5.6,7,19.4,1,2.8,2,5.6,13,36.1,0,0,1,2.8,0,0
MITSUBISHI,GALANT,2004,18,7,38.9,11,61.1,2,11.1,7,38.9,2,11.1,5,27.8,0,0,0,0,0,0,1,5.6,1,5.6,3,16.7,5,27.8,0,0,0,0,0,0
MITSUBISHI,GRANDIS,2003,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,GRANDIS,2004,19,10,52.6,9,47.4,4,21.1,5,26.3,1,5.3,0,0,3,15.8,1,5.3,0,0,3,15.8,0,0,1,5.3,0,0,0,0,0,0,0,0
MITSUBISHI,GRANDIS,2005,16,4,25,12,75,3,18.8,4,25,3,18.8,2,12.5,1,6.3,0,0,1,6.3,3,18.8,1,6.3,4,25,2,12.5,0,0,0,0,0,0
MITSUBISHI,GRANDIS,2006,17,10,58.8,7,41.2,3,17.6,2,11.8,0,0,0,0,2,11.8,0,0,1,5.9,0,0,0,0,3,17.6,1,5.9,1,5.9,0,0,0,0
MITSUBISHI,GRANDIS,2007,1,0,0,1,100,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,GRANDIS,2008,110,69,62.7,41,37.3,4,3.6,17,15.5,8,7.3,3,2.7,7,6.4,0,0,0,0,7,6.4,5,4.5,6,5.5,4,3.6,9,8.2,0,0,0,0
MITSUBISHI,GRANDIS,2009,10,9,90,1,10,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
MITSUBISHI,GRANDIS,2010,46,31,67.4,15,32.6,4,8.7,3,6.5,3,6.5,1,2.2,2,4.3,0,0,0,0,3,6.5,1,2.2,0,0,0,0,4,8.7,0,0,0,0
MITSUBISHI,GT3000,2000,1,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0
MITSUBISHI,I-MIEV,2010,15,12,80,3,20,2,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.7,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,LANCER,1981,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,LANCER,1988,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,LANCER,1989,3,1,33.3,2,66.7,0,0,2,66.7,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,2,66.7,0,0,0,0,0,0
MITSUBISHI,LANCER,1990,4,1,25,3,75,0,0,1,25,1,25,0,0,2,50,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI,LANCER,1991,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0
MITSUBISHI,LANCER,1992,10,4,40,6,60,2,20,3,30,0,0,2,20,1,10,2,20,0,0,0,0,0,0,0,0,2,20,3,30,0,0,0,0
MITSUBISHI,LANCER,1993,7,4,57.1,3,42.9,1,14.3,1,14.3,0,0,2,28.6,0,0,1,14.3,1,14.3,0,0,0,0,0,0,2,28.6,0,0,0,0,0,0
MITSUBISHI,LANCER,1994,21,11,52.4,10,47.6,2,9.5,2,9.5,4,19,2,9.5,0,0,3,14.3,2,9.5,5,23.8,1,4.8,1,4.8,1,4.8,3,14.3,0,0,0,0
MITSUBISHI,LANCER,1995,52,11,21.2,41,78.8,14,26.9,17,32.7,17,32.7,10,19.2,16,30.8,10,19.2,12,23.1,17,32.7,4,7.7,6,11.5,13,25,23,44.2,0,0,0,0
MITSUBISHI,LANCER,1996,119,36,30.3,83,69.7,27,22.7,40,33.6,19,16,21,17.6,15,12.6,14,11.8,26,21.8,20,16.8,5,4.2,15,12.6,23,19.3,36,30.3,0,0,0,0
MITSUBISHI,LANCER,1997,134,42,31.3,92,68.7,28,20.9,30,22.4,16,11.9,32,23.9,27,20.1,12,9,23,17.2,19,14.2,4,3,6,4.5,30,22.4,33,24.6,0,0,0,0
MITSUBISHI,LANCER,1998,280,82,29.3,198,70.7,53,18.9,56,20,49,17.5,58,20.7,46,16.4,30,10.7,65,23.2,37,13.2,9,3.2,16,5.7,49,17.5,60,21.4,3,1.1,1,0.4
MITSUBISHI,LANCER,1999,403,127,31.5,276,68.5,66,16.4,84,20.8,66,16.4,85,21.1,77,19.1,31,7.7,94,23.3,55,13.6,8,2,31,7.7,88,21.8,86,21.3,3,0.7,0,0
MITSUBISHI,LANCER,2000,544,192,35.3,352,64.7,79,14.5,127,23.3,85,15.6,97,17.8,109,20,35,6.4,111,20.4,83,15.3,15,2.8,41,7.5,104,19.1,121,22.2,1,0.2,0,0
